www.test1.com,26
www.test2.com,21
www.test3.com,110
www.test4.com,94
www.test5.com,59
www.test6.com,37
www.test7.com,3055
www.test8.com,2026
www.test9.com,85
www.test10.com,36
www.test11.com,115
www.test12.com,19
www.test13.com,36
www.test14.com,52
www.test15.com,42
www.test16.com,56
www.test17.com,102
www.test18.com,106
www.test19.com,65
www.test20.com,80
www.test21.com,50
www.test22.com,84
www.test23.com,40
www.test24.com,2048
www.test25.com,3084
www.test26.com,50
www.test27.com,2086
www.test28.com,2070
www.test29.com,3045
www.test30.com,2008
